id;formula;var_1;var_2;var_3;description;example
1;mindshare;Cuesta Guapo;extranet;Mascotas Account;synthesize Ordenador;China HTTP HDD
2;exploit;Brasil;portals;vortals;Corporativo;navigate parsing ADP
3;synthesizing Informática Extremadura;mano;invoice Práctico;streamline Facilitador;Ladrillo Relacciones;orchestrate
4;Ferrocarril;synthesize Australian collaborative;Administrador;Berkshire PCI architectures;Sabroso;Marroquinería Organizado
5;Account mobile Gris;24/365 Innovador;Gris firewall Savings;hacking;Cantabria;Account Visionario Ladrillo
6;Asturias Guilder Humano;transmitting primary Avon;Distribuido users;Orgánico;Pantalones facilitate transicional;withdrawal models
7;Camiseta distributed calculate;Acero Horizontal transmit;Morado evolve Reducido;Coordinador Innovador;quantifying convergence withdrawal;Obligatorio
8;concepto Berkshire Australian;Berkshire Siria Gourde;SCSI Hormigon Mancha;SSL evolve;Lek Kuna;card Madera
9;Asturias digital;Vía sistema;Refinado calculating bluetooth;Borders;system;Baleares metodologías Hungria
10;Desarrollador withdrawal Canadian;metrics Checking;deposit;compress Pantalones;SQL Refinado;Violeta
